,G,Y,m
Dmo-Mir-976,0,1,0
Gja-Mir-33-P1,1,1,0
Hme-Mir-67-v2,0,1,0
Rno-Mir-148-P3,1,1,0
Cpi-Mir-130-P1a,1,1,0
Lch-Mir-193-P2a,0,1,1
Xla-Mir-29-P2d3,0,1,0
Cpo-Mir-30-P2b,1,1,0
Mun-Mir-338-P1,0,1,0
Cgi-Mir-1984,0,0,0
Mdo-Let-7-P2a3,0,1,0
Xla-Mir-129-P2c,1,0,0
Ete-Mir-126-P2-v3,0,1,1
Xla-Novel-20,0,1,1
Cmi-Mir-205-P4,0,0,0
Dno-Mir-8-P3a,0,1,0
Efe-Mir-281-P5,0,1,0
Dre-Mir-10-P1b2-v1,0,0,1
Dre-Mir-148-P2,1,1,0
Tgu-Mir-10-P1b-v2,0,1,0
Mdo-Mir-7371-P8-v2,0,0,1
Dmo-Mir-315,1,1,0
Hsa-Mir-8-P2b,0,1,0
Bla-Mir-4871,0,1,0
Cli-Mir-7-P4,0,1,0
Lch-Mir-23-P2,0,0,0
Bpl-Novel-3-P1b2,1,1,0
Ete-Mir-26-P4,1,1,0
Dpu-Mir-216-P1,0,1,0
Ami-Mir-133-P4-v1,0,1,0
Aca-Mir-221-P1a,0,0,1
Loc-Mir-430-o32,1,0,0
Mun-Mir-10-P1d-v2,0,0,0
Gja-Mir-92-P1d,0,1,0
Csc-Mir-9-P27,0,0,0
Bfl-Mir-96-P3,0,0,0
Lpo-Mir-279-P11,0,1,0
Bta-Mir-2468,1,1,0
Gja-Mir-34-P1,1,1,0
Ovu-Novel-88,1,0,0
Dan-Mir-282,1,0,0
Dsi-Mir-977,0,1,0
Dme-Mir-92-P8,1,1,0
Aca-Mir-128-P2,0,1,0
Oan-Mir-10-P2d,0,1,0
Tni-Let-7-P2b4b,0,1,0
Asu-Mir-279-o30,0,1,0
Hsa-Mir-582-v2,1,1,0
Cte-Mir-1996,1,0,0
Oan-Mir-204-P1,1,0,0
Sto-Mir-103-P4,0,0,0
Sha-Mir-7398-o12-v1,1,1,0
Pma-Mir-1-o3,0,1,0
Gja-Mir-192-P2,1,1,0
Xtr-Mir-133-P3-v1,0,1,0
Cpo-Mir-154-P34,0,1,0
Mml-Mir-7170,0,1,0
Ocu-Mir-146-P1,0,0,1
Dma-Novel-4,0,1,0
Hme-Novel-2,0,1,1
Loc-Mir-124-P4-v2,0,1,0
Xla-Mir-101-P1b-v1,1,1,0
Tni-Mir-139,0,1,0
Mmu-Mir-143,0,1,0
Efe-Mir-22-P1d,0,0,0
Aca-Let-7-P2c3,0,1,0
Tgu-Mir-129-P2,1,0,0
Ovu-Mir-10-P3,1,0,0
Mmu-Let-7-P2c3,0,1,0
Ocu-Mir-29-P1d-v1,0,1,0
Mun-Mir-135-P1,0,0,0
Xtr-Novel-5,1,1,0
Ebu-Mir-92-P2f,1,1,1
Mmu-Mir-133-P1-v2,0,1,0
Cli-Mir-128-P2,0,1,0
Hsa-Mir-17-P4d,0,0,0
Gmo-Mir-142-P1-v1,1,1,0
Xla-Mir-128-P2c,0,1,0
Mmu-Mir-219-P3,1,0,0
Ovu-Novel-30,1,0,0
Oan-Mir-133-P3-v1,0,1,0
Cpo-Mir-8-P1b,0,1,0
Obi-Novel-49,0,0,0
Mdo-Mir-7371-P10,0,0,0
Hsa-Mir-142-P1-v3,1,1,0
Aca-Mir-456,1,1,0
Cmi-Mir-29-P2a-v1,0,1,0
Dsi-Mir-33,1,1,0
Obi-Mir-281,0,1,0
Mun-Mir-737,0,0,0
Dmo-Mir-279-P3,1,1,0
Dno-Mir-15-P1c,0,1,0
Ovu-Mir-278,0,1,0
Cfa-Mir-9851,1,1,0
Xla-Mir-148-P1a,1,1,0
Lpo-Mir-3931-P1,0,1,1
Rno-Mir-96-P3-v1,1,1,0
Pma-Mir-30-P1o4,1,1,0
Tni-Let-7-P2b2b,0,1,0
Sha-Mir-199-P2-v1,0,0,0
Efe-Mir-137-P10,0,1,0
Dya-Mir-8,0,1,0
Hsa-Mir-585,0,1,0
Hme-Mir-34-P11,0,1,0
Gja-Mir-460-P2,0,1,0
Lch-Mir-27-P4,1,1,0
Dsi-Mir-965,0,1,0
Spt-Mir-130-P4a,1,1,0
Spt-Mir-130-P1a,1,1,0
Xla-Mir-499-P4,1,0,0
Bta-Mir-15-P2a,0,1,0
Mdo-Mir-10-P2d,0,1,0
Cli-Mir-126-P2-v3,0,1,1
Dan-Novel-8,0,1,0
Bge-Mir-29-P2h,1,1,0
Ami-Mir-132-P1,1,1,0
Gja-Mir-192-P1,1,1,0
Spt-Mir-128-P1,0,1,0
Mmu-Mir-506-P14,0,1,0
Hme-Mir-2-P4,0,1,1
Bge-Mir-1000,0,1,0
Mml-Mir-154-P3a-v2,0,0,1
Tni-Mir-130-P1a2,1,1,1
Dme-Mir-34,0,1,0
Ami-Mir-204-P4,1,0,0
Dma-Mir-87-o5a,1,0,0
Mun-Mir-132-P2,1,1,0
Dme-Mir-1007,0,1,1
Bta-Mir-128-P1,0,1,0
Ovu-Mir-2-o22e,0,1,0
Xla-Mir-101-P2b-v1,1,1,0
Isc-Bantam-P9a,0,1,0
Mml-Mir-155,0,1,0
Dre-Mir-458,0,0,0
Mml-Mir-196-P4,0,1,0
Hsa-Mir-592,1,1,0
Asu-Mir-184,0,1,0
Cli-Mir-133-P4-v1,0,1,0
Ocu-Mir-12095,0,0,0
Dsi-Mir-2583,0,1,0
Sha-Mir-132-P2,1,1,0
Cel-Mir-787,1,1,0
Tca-Mir-11617-P5,0,1,0
Loc-Mir-199-P3-v2,1,1,0
Aca-Mir-10-P1d-v2,0,0,0
Aca-Mir-221-P2a,0,0,0
Cel-Mir-52-P2,0,1,0
Lpo-Mir-5735-P2,1,1,0
Cbr-Mir-7595-P1,0,0,0
Mdo-Mir-124-P3-v2,0,1,0
Ebu-Mir-7-P7,0,1,0
Lch-Mir-17-P4c,0,0,0
Tca-Mir-1000,0,1,0
Sto-Mir-2188,1,0,0
Csc-Mir-124-P27,0,1,1
Ocu-Mir-219-P2-as,0,0,0
Aca-Let-7-P2b2,0,1,0
Tgu-Mir-142-P1-v1,1,1,0
Xbo-Mir-210-P17,0,1,0
Ete-Mir-9851,1,1,0
Xla-Mir-430-o5q1,1,0,0
Cgi-Mir-1994-P1,0,1,0
Xtr-Mir-15-P2b,0,1,0
Bla-Mir-10-P2-v2,0,1,0
Rno-Mir-214-v2,1,1,0
Sto-Mir-181-P2a,1,1,0
Cin-Mir-92-o72,0,1,1
Npo-Mir-133-P20,0,1,0
Cli-Let-7-P2a4,0,1,0
Cbr-Mir-22-P2-v1,0,0,0
Cel-Mir-1829-P1,0,1,0
Tca-Mir-11621-P2a,1,1,0
Sto-Mir-17-P1c,0,0,0
Cpo-Mir-190-P1,0,0,0
Lch-Mir-2970,0,1,0
Rno-Mir-430-P6a,1,0,0
Aae-Mir-9-P13,0,1,0
Ete-Mir-15-P1d,0,1,0
Sme-Mir-1993-P7,1,1,0
Gmo-Mir-17-P4d,0,0,0
Tca-Mir-11618-P4,0,1,0
Dno-Mir-130-P1c,1,1,0
Bta-Mir-671,0,1,0
Cfa-Mir-489,0,0,0
Tgu-Mir-192-P1,1,1,0
Ovu-Mir-31,0,0,0
Mmu-Mir-433,1,0,0
Ebu-Mir-34-P2a,0,0,0
Xtr-Mir-430-o5k14,1,0,1
Sha-Mir-29-P1d-v1,0,1,0
Pma-Mir-8-P3o2,0,1,0
Dno-Mir-2355,0,1,0
Lgi-Mir-96-P1i,1,0,0
Mdo-Mir-7371-P11b,0,0,0
Cgi-Mir-750,1,1,1
Xla-Mir-96-P2d,1,1,0
Sme-Mir-210-P18,0,1,0
Bfl-Mir-96-P2f,0,1,0
Oan-Let-7-P2c2,0,1,1
Cpo-Mir-541,1,1,0
Pma-Mir-130-P2o1,1,1,0
Mml-Mir-376-P2,0,0,1
Spt-Mir-184,0,1,0
Mal-Mir-425,0,0,0
Sme-Mir-36-P20,0,1,0
Rno-Mir-124-P1-v2,0,1,0
Ami-Mir-375,0,1,0
Mdo-Mir-187,0,1,0
Tca-Mir-3893,0,0,0
Mml-Mir-576,0,0,0
Sha-Mir-19-P2a,0,1,0
Ami-Let-7-P2a2,0,1,0
Cpi-Mir-1662,0,1,1
Efe-Mir-281-P6,0,1,0
Sha-Mir-17-P4c,0,0,0
Cmi-Novel-4,1,1,0
Tca-Mir-3851-P5a,0,1,1
Bta-Mir-199-P2-v3,0,1,0
Aca-Mir-17-P2a,0,0,0
Cfa-Mir-138-P1,1,0,0
Pma-Mir-1-o4,0,1,0
Ovu-Mir-2722,1,1,0
Csc-Mir-71-P14,0,1,0
Loc-Mir-101-P2-v1,1,1,0
Tca-Mir-11618-P3b,0,1,1
Bla-Mir-252-P1-v2,0,1,0
Mdo-Mir-7371-P30,0,0,0
Spt-Mir-139,0,1,0
Xbo-Mir-103,0,1,0
Esc-Novel-45,0,0,1
Bpl-Mir-153,0,1,0
Hsa-Mir-95-P3-v2,0,0,0
Dan-Mir-956-v1,1,1,0
Mml-Mir-3617,0,1,0
Cmi-Mir-148-P4,1,1,0
Ocu-Mir-459,0,0,0
Sko-Mir-10-P2,1,1,0
Cbr-Mir-1817,0,1,0
Gja-Mir-101-P1-v1,1,1,0
Mdo-Mir-126-P2-v2,0,1,0
Tgu-Mir-128-P2,0,1,0
Oan-Mir-148-P1,1,1,0
Aca-Mir-383-v1,1,1,0
Cmi-Novel-14,0,0,0
Gga-Mir-124-P3-v1,0,1,0
Cbr-Mir-7583-P2,1,1,0
Bge-Novel-18,1,1,0
Ovu-Novel-65,0,1,0
Mml-Mir-430-P1,1,1,0
Mal-Mir-10651,1,1,1
Npo-Novel-10,0,1,0
Xtr-Mir-430-o5c17,1,0,1
Dsi-Mir-252-P1b,0,0,0
Mal-Mir-216-P2a,0,0,0
Cfa-Mir-219-P2,1,0,0
Cli-Mir-223,1,1,0
Sha-Novel-16-P1,0,0,0
Bla-Mir-193-P1g1,0,0,1
Cpo-Mir-431,1,1,0
Esc-Novel-44,1,0,0
Gga-Mir-126-P2-v3,0,1,1
Mun-Mir-191,0,0,0
Mun-Mir-34-P2b,0,0,0
Xla-Mir-430-P1b,1,1,0
Ami-Mir-32,1,1,0
Dmo-Mir-252-P2-v1,0,1,0
Dno-Mir-199-P2-v1,0,0,0
Efe-Mir-193-P2f-v2,1,0,0
Sha-Mir-10-P1c-v2,0,1,0
Efe-Mir-2686-o1,1,0,0
Tca-Mir-2-P2f,1,1,1
Nve-Mir-2043-P2a,0,1,0
Sto-Mir-202,0,0,0
Hsa-Mir-29-P2b,0,1,0
Hme-Mir-210-P4,0,1,0
Lan-Mir-34-P10,0,0,0
Pma-Mir-15-P2o1,0,1,0
Tni-Mir-2188,1,0,1
Ocu-Mir-342,1,1,0
Asu-Bantam-o2,0,1,0
Xla-Mir-2970-P1,0,1,0
Mmu-Mir-223,1,1,0
Oan-Mir-203-v2,1,1,0
Pma-Mir-96-P1o2,1,1,0
Mdo-Mir-7394-P2,0,1,0
Xla-Mir-103-P4,0,0,0
Ami-Mir-218-P2,0,0,0
Lpo-Mir-193-P1t,0,1,0
Sha-Novel-1,0,0,0
Bta-Mir-1388,0,0,0
Tca-Mir-3851-P3,0,1,0
Cbr-Mir-7593,0,1,0
Oan-Mir-17-P2c,0,1,0
Cpo-Mir-506-P1,1,0,0
Xbo-Mir-210-P18,0,1,0
Rno-Mir-452-v2,0,1,0
Xtr-Mir-203-v2,1,1,0
Cbr-Mir-193-P2-v2,0,0,0
Mmu-Mir-142-P1-v3,1,1,0
Mdo-Mir-7398-P12,1,1,0
Xla-Mir-142-P1a1-v2,0,0,0
Cpo-Mir-197,0,1,0
Cpi-Mir-199-P1-v3,0,1,0
Gga-Mir-204-P2,1,0,0
Efe-Mir-2693-P1,0,1,0
Mal-Mir-190-P1b,0,0,0
Dme-Mir-1006,0,1,0
Xla-Mir-2188-P2,1,0,0
Bfl-Mir-193-P1o1a,0,1,1
Mmu-Mir-430-P3,1,1,0
Tni-Mir-722-P2-v2,0,1,0
Cfa-Mir-29-P2b,0,1,0
Sha-Mir-33-P3,1,1,0
Sha-Mir-7336,1,1,0
Ocu-Mir-2355,0,1,0
Pbv-Mir-10-P2c,0,1,0
Cel-Mir-124,0,1,0
Hsa-Mir-197,0,1,0
Cpi-Mir-92-P2a,1,0,1
Cpi-Mir-124-P3-v1,0,1,0
Mmu-Mir-3095,1,1,0
Npo-Mir-10-P1,0,0,0
Hsa-Mir-1908,0,1,0
Loc-Let-7-P1c,0,1,0
Sme-Mir-87-o9,1,0,0
Dno-Mir-430-P8,0,0,0
Mmu-Mir-1933,0,1,1
Pbv-Mir-137-P3-v2,0,1,0
Esc-Mir-2-o23-v1,0,1,0
Cbr-Bantam-P4,0,1,0
Mdo-Mir-30-P1d,1,1,0
Bfl-Mir-96-P2i,0,1,0
Tni-Mir-199-P1b-v3,0,1,0
Cpi-Mir-29-P1d-v2,0,1,0
Tni-Mir-27-P2b,1,1,0
Tca-Mir-3811-P6,0,1,0
Bta-Mir-9851,1,1,0
Ami-Mir-15-P2c,0,1,0
Cpo-Let-7-P2a3,0,1,0
Mdo-Mir-7373-P7a,0,1,0
Sha-Mir-122,0,0,0
Oan-Mir-23-P3,0,0,0
Esc-Novel-42,0,1,0
Mal-Mir-9-P2b,0,0,1
Bfl-Mir-124,0,1,0
Cli-Mir-490,0,1,1
Aca-Mir-124-P1-v1,0,1,0
Ovu-Mir-1992,0,1,0
Oan-Mir-8-P3a,0,1,0
Gga-Mir-7-P4,0,1,0
Mal-Let-7-P2a2a,0,1,0
Mdo-Mir-338-P2,0,1,0
Ocu-Mir-15-P2a,0,1,0
Sha-Let-7-P2b1,0,1,0
Mmu-Mir-191,0,0,0
Mal-Mir-15-P1a2,0,1,0
Obi-Mir-210-P15-v2,0,1,0
Sha-Mir-490,0,1,1
Dre-Mir-430-o1d1,1,1,1
Ocu-Mir-96-P3-v1,1,1,0
Aca-Mir-1805,0,1,0
Oan-Mir-1391,1,1,0
Mdo-Mir-7398-P9,1,1,0
Lgi-Mir-1990,0,1,0
Pmi-Mir-10-P1,0,0,0
Dre-Mir-216-P2a,0,0,0
Mmu-Mir-184,0,1,0
Tni-Mir-459,0,1,0
Cpo-Mir-126-P2-v2,0,1,0
Sme-Mir-124-P34,0,1,0
Sha-Mir-27-P3,1,1,0
Aae-Mir-87-P2,1,0,0
Dsi-Mir-955,1,1,0
Aca-Mir-30-P2b,1,1,0
Oan-Mir-27-P2,1,1,0
Mdo-Mir-340,0,0,0
Dya-Mir-278,1,1,0
Sha-Mir-218-P4,0,0,0
Hsa-Mir-19-P1a,0,1,1
Oan-Mir-186,1,1,0
Mal-Mir-203-P1-v2,1,1,0
Esc-Novel-32,0,1,0
Bta-Mir-7-P2,0,1,0
Xla-Mir-33-P3a,1,1,0
Spt-Mir-19-P1a,0,1,0
Sto-Mir-138-P2,0,0,0
Efe-Mir-87-o15,1,0,0
Mmu-Mir-148-P3,1,1,0
Bla-Mir-22-o3a2a,0,1,0
Rno-Mir-133-P1-v2,0,1,0
Cpo-Mir-15-P2a,0,1,0
Cfa-Mir-105-P1,0,1,0
Mmu-Mir-17-P1d,0,1,1
Mal-Mir-130-P1a2,1,1,0
Gja-Mir-34-P2b,0,0,0
Ocu-Mir-199-P1-v3,0,1,0
Dre-Mir-27-P2a,1,1,0
Cpi-Let-7-P2b1,0,1,0
Asu-Mir-5359,0,1,0
Mdo-Mir-430-P3,1,1,0
Cli-Mir-181-P1b,0,0,0
Xtr-Mir-430-o5k10,1,0,1
Cin-Mir-4046,0,1,1
Cpo-Mir-330-v2,0,0,0
Cpi-Mir-1677-P1a1,0,1,0
Cpi-Mir-30-P2b,1,1,0
Cfa-Mir-192-P1,1,1,0
Ete-Mir-9-P2,0,0,0
Ovu-Mir-87-o6,1,0,0
Oan-Mir-92-P1a6,1,1,0
Cli-Mir-194-P1,0,1,0
Dpu-Mir-252-P1,0,0,0
Cpo-Mir-224,0,0,0
Dno-Mir-430-P6,1,0,0
Dan-Mir-29-P2g,1,1,0
Cbr-Mir-10-P1,0,0,0
Mmu-Mir-194-P1,0,1,0
Esc-Mir-34,0,0,0
Mdo-Mir-181-P1c,0,0,0
Loc-Mir-22-P1a,0,0,0
Oan-Mir-150,0,1,0
Dre-Let-7-P2a4b,0,1,0
Cfa-Mir-154-P10,1,0,0
Sme-Mir-2-o55,0,1,1
Mdo-Mir-1544-P1d2,0,0,0
Sha-Mir-7371-o27,0,0,0
Cgi-Mir-190,0,1,0
Mmu-Mir-351,0,0,0
Mdo-Mir-7360-P2d,0,0,0
Gmo-Mir-219-P3a,0,0,0
Dno-Mir-216-P2b,0,1,0
Cpi-Mir-196-P1,0,1,0
Xtr-Mir-96-P3-v2,0,0,0
Bpl-Novel-3-P1a2,0,0,0
Hsa-Mir-221-P2a,0,0,0
Lch-Mir-199-P1,0,0,0
Xla-Novel-10-P2,0,0,0
Mml-Mir-1251,1,1,0
Sto-Mir-205-P1,1,0,0
Mmu-Mir-7-P2,0,1,0
Tca-Mir-2-P1-v2,0,1,0
Aae-Mir-92-o54,0,1,1
Gja-Mir-29-P1d-v2,0,1,0
Gga-Mir-1306,1,0,0
Gmo-Mir-23-P3,0,0,0
Dno-Mir-17-P1c,0,0,0
Pbv-Mir-17-P1c,0,0,0
Sha-Mir-430-o15,0,1,0
Pmi-Mir-96-P3,0,0,0
Gja-Mir-15-P2d,1,1,0
Obi-Mir-210-P16,1,1,0
Pbv-Mir-199-P3-v1,0,0,0
Spt-Mir-204-P4,1,0,0
Dno-Mir-378,0,0,0
Esc-Mir-1984,0,1,1
Xtr-Mir-34-P3b,1,1,0
Gmo-Mir-190-P3,0,0,0
Lpo-Mir-96-P3s,0,0,0
Ebu-Mir-133-P6a-v1,0,1,0
Spt-Mir-23-P2,0,0,0
Xla-Mir-92-P1c4,1,1,1
Dno-Mir-95-P3-v1,0,1,0
Ebu-Mir-4545-P1-v2,0,0,1
Sto-Mir-130-P3c,1,1,0
Esc-Novel-3-v1,0,1,0
Rno-Mir-154-P8,1,1,0
Loc-Mir-727-P4-v1,0,1,0
Pma-Mir-430-o35,1,1,0
Dsi-Mir-2-P2a,0,1,1
Asu-Mir-7,0,1,0
Hsa-Mir-17-P4c,0,0,0
Hme-Mir-33-P9,1,1,0
Hsa-Mir-140-P1-v1,0,0,0
Tni-Mir-181-P2a1,1,1,0
Aca-Mir-383-v2,1,1,0
Xla-Mir-551-P2b,1,0,1
Aca-Let-7-P1d,0,1,0
Bta-Mir-506-P2f,1,0,1
Tni-Mir-210,0,1,0
Cgi-Novel-3,1,1,1
Cpi-Mir-101-P2-v1,1,1,0
Lpo-Mir-96-P1u,0,0,0
Mdo-Mir-7360-P2b,0,0,0
Cin-Mir-4029,1,0,0
Ovu-Mir-2-o20-v2,0,1,0
Lch-Mir-221-P1a,0,0,1
Efe-Mir-184-o2,0,1,0
Ete-Let-7-P2c2,0,1,1
Hsa-Mir-506-P7b,1,0,0
Hsa-Mir-219-P3,1,0,0
Spt-Mir-92-P1d,0,1,0
Mdo-Mir-12358-P2-v2,1,0,0
Cte-Mir-2686-P2,1,0,0
Oan-Mir-1422-P11,0,0,0
Gga-Mir-218-P4,0,0,0
Spu-Novel-1-P1,1,1,1
Bla-Mir-4872-P23,0,0,0
Oan-Mir-10-P3d,0,0,0
Xla-Mir-7-P2f,0,1,0
Dsi-Mir-3-P1,0,1,1
Loc-Mir-187,0,1,0
Hsa-Mir-26-P2,1,1,0
Mdo-Mir-7292,1,1,1
Hsa-Mir-101-P2-v2,1,0,0
Hsa-Mir-599,1,1,0
Cpo-Mir-361-v1,0,1,0
Dre-Mir-153-P2a,1,1,0
Oan-Mir-31,0,1,0
Lch-Let-7-P1c,0,1,0
Pmi-Mir-2011,0,1,0
Pfl-Mir-4828-P3,0,0,0
Cmi-Mir-196-P1,0,1,1
Cbr-Mir-87-o2,0,1,0
Loc-Mir-2188,1,0,0
Dno-Mir-138-P1,1,0,0
Dsi-Mir-4983,0,0,0
Rno-Mir-142-P1-v4,0,0,0
Cpi-Mir-29-P1b-v1,0,1,0
Dya-Mir-33,1,1,0
Cin-Mir-4050,0,1,0
Ete-Mir-877,1,1,0
Cmi-Mir-181-P2b,0,1,0
Dno-Mir-3613,0,0,0
Cin-Mir-4018-P2,0,0,0
Bta-Mir-874,0,1,0
Hsa-Mir-130-P3b,1,1,0
Cpo-Mir-1298,0,1,0
Cin-Mir-5600,0,0,1
Gmo-Mir-139,0,1,0
Cte-Mir-190,0,0,0
Mun-Mir-190-P1,0,0,0
Mml-Mir-26-P4,1,1,0
Bta-Mir-374-P1,0,1,0
Tgu-Mir-148-P1-as,1,1,0
Rno-Mir-376-P4,0,0,0
Dno-Mir-154-P1,1,0,0
Sha-Novel-15,0,1,0
Cgi-Mir-2-o34,0,1,0
Ete-Mir-30-P2a,1,1,0
Gga-Mir-2131,1,1,0
Asu-Mir-216-P2,0,0,0
Mal-Mir-10-P1c1-v2,0,0,0
Xbo-Mir-33,1,1,0
Dre-Mir-7-P1b,0,1,0
Mml-Mir-221-P2a,0,0,0
Sha-Mir-146-P4,0,0,0
Cfa-Mir-26-P4,1,1,0
Mal-Mir-338-P1,0,1,0
Tca-Mir-92-o58,0,1,0
Hme-Mir-279-o31,0,1,0
Cgi-Mir-67-P4,0,1,0
Tca-Mir-193-P2,1,1,0
Rno-Mir-135-P1,0,0,0
Bfl-Mir-129-P8,1,0,1
Cmi-Novel-23,0,1,0
Gja-Mir-221-P2a,0,0,0
Bta-Mir-191,0,0,0
Bta-Mir-142-P1-v4,0,0,0
Dya-Mir-2-P5,0,1,0
Xla-Mir-1388-P2,0,0,0
Cpi-Mir-193-P1a,0,0,1
Tca-Mir-281,0,1,0
Ete-Mir-760,0,1,0
Cmi-Mir-130-P2b,1,1,0
Ovu-Novel-66,0,1,0
Aca-Mir-10-P2c,0,1,0
Bta-Mir-2387,0,1,0
Dno-Mir-136-v2,0,0,0
Hsa-Mir-3619,1,0,0
Gja-Mir-124-P1-v1,0,1,0
Gmo-Mir-728-P2,0,0,0
Ovu-Mir-10-P2,0,1,0
Ovu-Novel-82,0,0,0
Gga-Mir-7462,0,0,0
Gmo-Mir-181-P2c1,1,1,0
Mmu-Mir-144-v1,0,1,0
Mml-Mir-216-P2a,0,0,1
Cli-Mir-34-P3a,0,1,0
Gmo-Mir-24-P3,0,1,0
Sha-Mir-7398-o8,1,1,0
Mmu-Mir-17-P4c,0,0,0
Gga-Mir-155,0,1,0
Mmu-Mir-450-P2,0,0,0
Lch-Mir-30-P2a,0,1,0
Ocu-Mir-181-P2a,1,1,0
Ovu-Novel-10,0,1,0
Dmo-Mir-133,0,1,0
Efe-Mir-1-P11,0,1,0
Sto-Mir-194-P1,0,1,0
Oan-Mir-1421-P15,0,1,0
Bge-Mir-927-P1,1,1,0
Dmo-Novel-3-v1,0,1,0
Mmu-Mir-142-P1-v4,0,0,0
Sto-Mir-153-P4,1,1,0
Mml-Mir-127,0,1,0
Lgi-Let-7,0,1,0
Ebu-Mir-9-P8,0,0,0
Dya-Mir-67-v2,0,1,0
Cmi-Let-7-P2a1,0,1,0
Loc-Mir-103-P2,0,0,0
Oan-Mir-1421-P29a,0,1,0
Cte-Mir-2690,1,1,0
Ocu-Mir-124-P1-v2,0,1,0
Rno-Mir-506-P28,0,1,0
Dno-Mir-17-P2a,0,0,0
Asu-Mir-5350-P5,0,1,0
Cbr-Mir-1,0,1,0
Mun-Mir-199-P1-v2,1,1,0
Sha-Novel-11-P1b-v1,1,1,0
Mdo-Mir-7385-P6,0,0,0
Sto-Mir-92-P1d,0,1,0
Ete-Mir-153-P1,1,1,0
Cgi-Mir-10-P1,0,0,0
Gja-Mir-92-P2c,0,0,0
Obi-Novel-35-v1,0,1,0
Bla-Mir-4872-P12,0,0,0
Mml-Mir-506-P6c1,0,1,0
Pbv-Mir-1677-P7,0,1,0
Mdo-Mir-430-P2,1,1,0
Cte-Mir-2702,0,0,0
Aca-Mir-23-P2,0,0,0
Dme-Mir-252-P1a,0,0,0
Pma-Mir-138-o1,0,0,0
Tca-Mir-252-P1,0,1,0
Cfa-Mir-217-v2,0,0,0
Mml-Mir-430-P11a,0,1,0
Mal-Mir-724-P2-v2,0,0,0
Cpo-Mir-582-v2,1,1,0
Dno-Mir-214-v2,1,1,0
Dsi-Mir-87-P2-v1,1,1,0
Cfa-Mir-148-P4,1,1,0
Mdo-Mir-7309,0,1,1
Mal-Mir-142-P1-v1,1,1,0
Tca-Mir-137-v1,1,1,0
Bfl-Mir-190,0,0,0
Cgi-Mir-184-P13b,0,1,0
Mmu-Mir-202,0,0,0
Mdo-Let-7-P2a1,0,1,0
Lan-Mir-278,1,1,1
Hsa-Mir-137-P1-v2,0,1,0
Cin-Mir-4052,0,1,1
Gga-Mir-1-P1,0,1,0
Cli-Mir-92-P1c,1,1,0
Ocu-Mir-29-P2d,0,1,0
Mdo-Mir-26-P4,1,1,0
Gja-Mir-10-P1d-v2,0,0,0
Mmu-Mir-675,0,1,0
Spt-Mir-551-P2,1,0,1
Bge-Mir-137-P14-v2,0,1,0
Rno-Mir-204-P1,1,0,0
Dya-Mir-76,1,1,0
Ami-Let-7-P2a1,0,1,0
Mun-Mir-193-P1a,0,0,1
Hsa-Mir-2355,0,1,0
Hme-Mir-3-P21,0,1,0
Oan-Mir-132-P2,1,1,0
Mdo-Mir-219-P2,1,0,0
Lan-Mir-1994-P3b,0,1,0
Cpo-Mir-885,0,0,0
Cmi-Mir-34-P3c,0,1,0
Dan-Novel-18,0,1,0
Dno-Mir-8-P1a,0,1,0
Cpo-Mir-196-P1,0,1,0
Gmo-Mir-199-P2a-v1,0,0,0
Ete-Mir-430-P2,1,1,0
Xla-Mir-210-P13,0,1,0
Cmi-Mir-103-P1,0,0,0
Pbv-Let-7-P2c2,0,1,1
Pfl-Mir-10-P3l,0,0,1
Cpi-Mir-375,0,1,0
Oan-Mir-1421-P18,0,1,0
Bla-Mir-4872-P4,0,0,0
Cgi-Mir-252-P2,0,1,0
Cel-Mir-252-P1,0,1,0
Gja-Mir-124-P2-v1,0,1,0
Cpi-Mir-187,0,1,0
Mmu-Mir-491,0,1,0
Esc-Mir-87-o6,1,0,0
Isc-Mir-190,0,0,0
Efe-Mir-9-P20,0,0,0
Sha-Mir-430-o21,0,1,0
Tni-Mir-219-P3b,0,0,0
Sha-Mir-483,0,1,0
Dan-Mir-1175,1,1,0
Xtr-Mir-430-o5e,1,0,1
Bta-Mir-10182,0,0,1
Hsa-Mir-362-P5,0,0,1
Dre-Mir-727-P1-v2,0,0,0
Lch-Mir-205-P1,1,0,1
Mal-Mir-199-P1b-v1,0,0,0
Bta-Mir-2285-P5,0,0,0
Rno-Mir-135-P4,0,0,0
Oan-Mir-96-P2,1,1,0
Xbo-Mir-96-P1,1,1,0
Dan-Mir-2-P1-v2,1,1,1
Cte-Mir-22-P2,1,0,0
Aca-Mir-218-P4,0,0,0
Esc-Novel-62,0,0,1
Gja-Mir-27-P2,1,1,0
Cmi-Mir-29-P1b,0,1,0
Cpo-Mir-154-P12,1,0,0
Aca-Mir-26-P2,1,1,0
Mml-Mir-34-P1,1,1,0
Cpo-Let-7-P1b,0,1,0
Cel-Mir-36-P4,0,1,0
Cli-Mir-34-P2b,0,0,0
Oan-Mir-92-P1c,1,1,0
Rno-Mir-8-P2b,0,1,0
Cfa-Mir-488,0,1,0
Mal-Mir-26-P2a,1,1,0
Tgu-Mir-196-P4,0,1,0
Mun-Mir-1662,0,1,0
Tgu-Mir-21,1,1,0
Dan-Novel-20,0,1,0
Sme-Mir-2-o52,0,1,0
Gmo-Mir-218-P4,0,1,0
Tgu-Mir-217-v1,0,1,0
